Invoice Number,Invoice Date,Payment Terms,Invoice Currency,Company Name,Line Number,Item Name,Quantity,Amount,Total Amount,VAT,Invoice Amount
CC2134,10-Feb-2020,14,INR,Layo,1,Water - Spring Water 500ml,8,825,6600,20,7920
CC4411,12-Apr-2020,79,INR,Miboo,1,Bag Stand,8,1312,10496,20,12595.2
CB2114,21-Dec-2020,36,INR,Gabtype,1,Chocolate Bar - Coffee Crisp,3,2809,8427,20,10112.4
CA4314,30-May-2020,76,INR,Edgeify,1,Ecolab - Hobart Upr Prewash Arm,5,1953,9765,20,11718
CA1444,18-Feb-2020,60,INR,Abata,1,Beef - Tenderloin - Aa,3,428,1284,20,1540.8
CB4241,18-Feb-2020,32,INR,Kwinu,1,Fudge - Cream Fudge,9,347,3123,20,3747.6
CC4442,24-Aug-2020,47,INR,Jabberbean,1,Beans - Fava Fresh,7,925,6475,20,7770
AB3241,04-Apr-2020,13,INR,Meezzy,1,Pepper - Jalapeno,4,1503,6012,20,7214.4
AC4443,16-Jan-2021,69,INR,Yodel,1,"Beans - Turtle, Black, Dry",6,2259,13554,20,16264.8
CC1312,06-Jan-2020,32,INR,Voomm,1,Garbage Bags - Black,10,277,2770,20,3324
BB4141,27-Oct-2020,28,INR,Oozz,1,Truffle - Whole Black Peeled,3,783,2349,20,2818.8
AB2313,08-Sep-2020,51,INR,Feedspan,1,Lambcasing,8,2148,17184,20,20620.8
CB4424,28-Feb-2020,53,INR,Photospace,1,Cloves - Ground,6,2388,14328,20,17193.6
CC4244,24-Feb-2020,33,INR,Meedoo,1,Veal - Slab Bacon,4,2369,9476,20,11371.2
AA3144,14-Jan-2021,12,INR,Mynte,1,Soup - French Onion,9,753,6777,20,8132.4
CC4414,31-Jan-2021,65,INR,Dabshots,1,Mustard - Pommery,4,642,2568,20,3081.6
AC4441,06-Nov-2020,8,INR,Nlounge,1,Syrup - Monin - Granny Smith,9,2780,25020,20,30024
CB4334,29-Jan-2021,38,INR,Tagtune,1,Beef - Bresaola,6,1370,8220,20,9864
AC4343,16-Apr-2020,63,INR,Wikido,1,"Lemonade - Island Tea, 591 Ml",10,2317,23170,20,27804
BC4444,19-Jan-2020,41,INR,Thoughtworks,1,Chef Hat 20cm,2,2233,4466,20,5359.2
AA1444,02-Mar-2021,9,INR,Buzzster,1,"Sole - Dover, Whole, Fresh",2,2576,5152,20,6182.4
CB4434,19-Aug-2020,69,INR,Skipfire,1,Gelatine Leaves - Bulk,8,1799,14392,20,17270.4
CB1444,21-May-2020,50,INR,Gabcube,1,"Dill - Primerba, Paste",4,2301,9204,20,11044.8
CC4444,29-May-2020,51,INR,Gigaclub,1,Frangelico,7,1862,13034,20,15640.8
CC4143,29-Oct-2020,34,INR,Gevee,1,Sherry - Dry,5,860,4300,20,5160
BB4334,28-Sep-2020,11,INR,Photospace,1,Wine - Riesling Alsace Ac 2001,6,1947,11682,20,14018.4
AA4424,23-Jul-2020,30,INR,Gabvine,1,Gatorade - Orange,5,937,4685,20,5622
BC4143,11-Sep-2020,25,INR,Gigashots,1,Carbonated Water - Strawberry,9,1133,10197,20,12236.4
CB4114,03-Apr-2020,10,INR,Jatri,1,"Lemonade - Black Cherry, 591 Ml",6,2590,15540,20,18648
CA1233,28-Feb-2020,89,INR,Topdrive,1,Yogurt - French Vanilla,2,1108,2216,20,2659.2
CB4141,23-May-2020,25,INR,Nlounge,1,Bagel - 12 Grain Preslice,6,2416,14496,20,17395.2
CC4444,19-Jan-2020,75,INR,Miboo,1,Tomato - Plum With Basil,2,2441,4882,20,5858.4
AC3143,06-Apr-2020,56,INR,Tambee,1,Wine - Chardonnay South,3,508,1524,20,1828.8
AC3443,31-Mar-2020,71,INR,Geba,1,Sauce - Salsa,7,1612,11284,20,13540.8
CB4433,21-Feb-2021,80,INR,Shuffletag,1,Wine - Malbec Trapiche Reserve,10,2448,24480,20,29376
AB4442,17-Jan-2021,10,INR,Vinte,1,"Sauce - Soya, Light",1,525,525,20,630
CB4412,25-Jun-2020,70,INR,Realmix,1,Coffee - Hazelnut Cream,6,2395,14370,20,17244
AC3433,22-Feb-2020,7,INR,Roomm,1,Cookie - Oatmeal,6,1438,8628,20,10353.6
CC4442,02-Oct-2020,90,INR,Photobug,1,Wine - Magnotta - Pinot Gris Sr,6,2682,16092,20,19310.4
AC4333,21-Mar-2021,18,INR,Talane,1,Longos - Burritos,6,524,3144,20,3772.8
CB4344,02-Jan-2020,9,INR,Voonix,1,"Soup - Campbells, Beef Barley",8,861,6888,20,8265.6
AC2314,05-Sep-2020,61,INR,Vinder,1,Coffee - Frthy Coffee Crisp,10,2987,29870,20,35844
BB4233,12-Mar-2020,10,INR,Quaxo,1,Onions - Red Pearl,1,2805,2805,20,3366
BC4432,27-Feb-2021,25,INR,Zoomcast,1,"Bread - Pumpernickle, Rounds",1,2887,2887,20,3464.4
AB2343,27-Mar-2020,77,INR,Riffpedia,1,"Corn - Cream, Canned",4,1455,5820,20,6984
CA3222,24-May-2020,39,INR,Twimm,1,Carbonated Water - Lemon Lime,6,250,1500,20,1800
CC4333,15-Jun-2020,10,INR,Tagcat,1,"Bread - Multigrain, Loaf",4,1149,4596,20,5515.2
BB4424,09-Nov-2020,8,INR,Zooveo,1,"Crab - Dungeness, Whole",9,623,5607,20,6728.4
CA4342,28-Oct-2020,58,INR,Vinte,1,Fondant - Icing,8,2816,22528,20,27033.6
BC4331,09-Feb-2020,67,INR,Chatterbridge,1,Tea - Green,9,907,8163,20,9795.6
AC4334,25-Jun-2020,66,INR,Kaymbo,1,Snails - Large Canned,6,2170,13020,20,15624
CC3414,06-Dec-2020,63,INR,Roomm,1,Wine - Guy Sage Touraine,6,571,3426,20,4111.2
AC4431,15-Mar-2021,22,INR,DabZ,1,Grapes - Green,1,1396,1396,20,1675.2
AC4423,06-Feb-2020,8,INR,Realpoint,1,Turnip - Mini,4,1163,4652,20,5582.4
CC4244,15-Feb-2021,45,INR,Babbleopia,1,Longos - Grilled Chicken With,9,968,8712,20,10454.4
CC4434,29-Feb-2020,24,INR,Brainsphere,1,Onions - Green,1,2120,2120,20,2544
CC1343,31-Oct-2020,67,INR,BlogXS,1,"Yogurt - Strawberry, 175 Gr",7,215,1505,20,1806
CB1314,09-Oct-2020,75,INR,Livefish,1,Kiwi,4,1830,7320,20,8784
AB4141,05-Feb-2021,72,INR,Zooxo,1,Beef - Top Butt Aaa,9,1633,14697,20,17636.4
AA1433,29-Dec-2020,83,INR,Yambee,1,Shrimp - Black Tiger 6 - 8,5,2022,10110,20,12132
CC4134,04-May-2020,33,INR,Flashpoint,1,Celery Root,7,2661,18627,20,22352.4
AC4334,06-Nov-2020,26,INR,Katz,1,Cognac - Courvaisier,8,877,7016,20,8419.2
CC4344,26-Jan-2020,88,INR,Buzzdog,1,Guinea Fowl,7,1663,11641,20,13969.2
AC4433,23-Feb-2020,77,INR,Vidoo,1,Burger Veggie,3,462,1386,20,1663.2
AC2444,21-Oct-2020,75,INR,Flashdog,1,Sprouts - Pea,7,2206,15442,20,18530.4
BC4444,21-Oct-2020,55,INR,Realblab,1,Swiss Chard - Red,10,2140,21400,20,25680
BC4443,17-Aug-2020,60,INR,Skimia,1,Lid - 16 Oz And 32 Oz,1,1732,1732,20,2078.4
BC4434,04-Aug-2020,82,INR,Roombo,1,Cookie Dough - Chunky,3,2083,6249,20,7498.8
CA3441,10-Mar-2021,55,INR,Flipstorm,1,Milk - Buttermilk,8,2498,19984,20,23980.8
CA4344,22-Jan-2020,54,INR,Flipstorm,1,Tea - Lemon Green Tea,9,490,4410,20,5292
